[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01GA01, streptomycin, Oxazepam may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxazepam.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01CG01, sulbactam, Oxazepam may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Oxazepam may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Oxazepam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01BB02, mercaptopurine, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Mercaptopurine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Oxazepam.]
[R03CC03, terbutaline, Oxazepam may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Oxazepam may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Oxazepam is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxazepam.]
[L04AX02, thalidomide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Theobromine.]
[R03DA04, theophylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Oxazepam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxazepam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Oxazepam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Oxazepam is combined with Thiothixene.]
[G04BE06, moxisylyte, Oxazepam may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tiapride.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Oxazepam.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[P01AB02, tinidazole, Oxazepam may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Oxazepam may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V04CA01, tolbutamide, Oxazepam may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Oxazepam is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxazepam.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Trazodone.]
