[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[G03XB02, ulipristal, The serum concentration of Ulipristal can be decreased when it is combined with Clobazam.]
[J01GA01, streptomycin, Clobazam may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clobazam.]
[A02BX02, sucralfate, Clobazam may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Clobazam may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Clobazam may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Clobazam may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Clobazam is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Clobazam is combined with Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01BB02, mercaptopurine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Clobazam.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Clobazam.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Clobazam.]
[R03CC03, terbutaline, Clobazam may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Clobazam.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Clobazam.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Clobazam.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Tetracaine.]
[S03AA02, tetracycline, Clobazam may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Clobazam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Clobazam is combined with Apomorphine.]
[L04AX02, thalidomide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Clobazam.]
[P02CA02, thiabendazole, Clobazam may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Clobazam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Clobazam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Clobazam.]
[G04BE06, moxisylyte, Clobazam may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Clobazam is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Clobazam.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Clobazam.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Clobazam.]
[P01AB02, tinidazole, Clobazam may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Clobazam may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Clobazam may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Clobazam may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Clobazam is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Clobazam.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Clobazam is combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Clobazam.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Clobazam.]
