[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Antipyrine.]
[J01GA01, streptomycin, Buspirone may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Buspirone.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J01CG01, sulbactam, Buspirone may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Buspirone may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Buspirone is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Buspirone.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Buspirone is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Buspirone is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Buspirone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Buspirone.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Buspirone.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Buspirone is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, Buspirone may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Buspirone may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tetracaine.]
[S03AA02, tetracycline, Buspirone may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Buspirone which could result in a higher serum level.]
