[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Flurazepam.]
[J01GA01, streptomycin, Flurazepam may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Flurazepam.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flurazepam.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01CG01, sulbactam, Flurazepam may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Flurazepam may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Flurazepam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Flurazepam is combined with Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01BB02, mercaptopurine, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Flurazepam.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Flurazepam.]
[R03CC03, terbutaline, Flurazepam may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Flurazepam may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Flurazepam is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tetracaine.]
[S03AA02, tetracycline, Flurazepam may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Apomorphine.]
[L04AX02, thalidomide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Flurazepam.]
[P02CA02, thiabendazole, Flurazepam may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Flurazepam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Flurazepam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Flurazepam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Flurazepam is combined with Thiothixene.]
[G04BE06, moxisylyte, Flurazepam may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tiapride.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
