[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Nitrazepam.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nitrazepam.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Nitrazepam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sulthiame.]
[L01BB02, mercaptopurine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Mercaptopurine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Nitrazepam.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Nitrazepam is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nitrazepam.]
[L04AX02, thalidomide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Theobromine.]
[R03DA04, theophylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Theophylline.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Nitrazepam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Nitrazepam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Nitrazepam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Nitrazepam.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Nitrazepam is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nitrazepam.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Trazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Nitrazepam.]
[A03AB12, mepenzolate, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Nitrazepam.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Nitrazepam.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Nitrazepam.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Nitrazepam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Nitrazepam.]
[A03BB01, butylscopolamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Nitrazepam can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Nitrazepam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Nitrazepam.]
[A10BH05, linagliptin, The metabolism of Nitrazepam can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Nitrazepam can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Nitrazepam can be decreased when combined with Telaprevir.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Ezogabine.]
[C08DA01, verapamil, The metabolism of Nitrazepam can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Nitrazepam can be decreased when combined with Viloxazine.]
