[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Zolpidem.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01EC02, sulfadiazine, The metabolism of Zolpidem can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Zolpidem can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Zolpidem can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Zolpidem can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Zolpidem can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Zolpidem can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Zolpidem can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, Sulpiride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Zolpidem.]
[N06DA01, tacrine, The metabolism of Zolpidem can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Zolpidem can be increased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Zolpidem.]
[G03BA03, testosterone, The metabolism of Zolpidem can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Zolpidem is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AX02, thalidomide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Zolpidem.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Zolpidem.]
[P02CA02, thiabendazole, The metabolism of Zolpidem can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Zolpidem.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B01AC05, ticlopidine, The metabolism of Zolpidem can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, Tilidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01ED01, timolol, The metabolism of Zolpidem can be decreased when combined with Timolol.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Zolpidem.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Zolpidem.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AX02, tramadol, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Zolpidem.]
[S01BA05, triamcinolone, The metabolism of Zolpidem can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Zolpidem can be decreased when combined with Triamterene.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB12, mepenzolate, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04AA01, trihexyphenidyl, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Zolpidem can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Zolpidem.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AC04, tripelennamine, The metabolism of Zolpidem can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03BB01, butylscopolamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Zolpidem can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Zolpidem.]
[L02BX03, abiraterone, The serum concentration of Zolpidem can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Zolpidem can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Zolpidem can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Zolpidem can be decreased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Zolpidem can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B01AC24, ticagrelor, The metabolism of Zolpidem can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Zolpidem can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01CA01, vinblastine, The metabolism of Zolpidem can be increased when combined with Vinblastine.]
[A11HA03, vitamin E, The metabolism of Zolpidem can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Zolpidem.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Zolpidem.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AE02, indinavir, The metabolism of Zolpidem can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EC01, vemurafenib, The serum concentration of Zolpidem can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Zolpidem can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Zolpidem can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Zolpidem can be decreased when combined with Rabeprazole.]
[J01MA13, trovafloxacin, The metabolism of Zolpidem can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Zolpidem.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Zolpidem.]
[G04BD07, tolterodine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The metabolism of Zolpidem can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Zolpidem can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Zolpidem can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01FA01, atropine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Zolpidem.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Zolpidem.]
[H02AB11, prednylidene, The metabolism of Zolpidem can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Zolpidem.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Zolpidem.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G04BD12, mirabegron, The serum concentration of Zolpidem can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Zolpidem can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Zolpidem can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Zolpidem can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, The serum concentration of Zolpidem can be decreased when it is combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Zolpidem can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AE04, nelfinavir, The metabolism of Zolpidem can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Zolpidem.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06DA02, donepezil, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AC06, thonzylamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Zolpidem can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Zolpidem.]
[G04BE03, sildenafil, The metabolism of Zolpidem can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Zolpidem.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Zolpidem.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Zolpidem.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Zolpidem can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G03XC05, ospemifene, The metabolism of Zolpidem can be decreased when combined with Ospemifene.]
