[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Zaleplon.]
[J01GA01, streptomycin, Zaleplon may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zaleplon.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01CG01, sulbactam, Zaleplon may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Zaleplon may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Zaleplon.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01BB02, mercaptopurine, Zaleplon may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Zaleplon.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Zaleplon.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Zaleplon.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Zaleplon may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Zaleplon is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Zaleplon.]
[L04AX02, thalidomide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Zaleplon may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Zaleplon may increase the excretion rate of Theophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Zaleplon.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Zaleplon.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Zaleplon.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Zaleplon is combined with Thiothixene.]
[G04BE06, moxisylyte, Zaleplon may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
