[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[J01GA01, streptomycin, Eszopiclone may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of CNS depression can be increased when Succinylcholine is combined with Eszopiclone.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01CG01, sulbactam, Eszopiclone may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Eszopiclone can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The metabolism of Eszopiclone can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The serum concentration of Eszopiclone can be decreased when it is combined with Sulfinpyrazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of CNS depression can be increased when Sulpiride is combined with Eszopiclone.]
[N03AX03, sulthiame, The risk or severity of CNS depression can be increased when Sulthiame is combined with Eszopiclone.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L02BA01, tamoxifen, The serum concentration of Eszopiclone can be decreased when it is combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of CNS depression can be increased when Temazepam is combined with Eszopiclone.]
[L01CB02, teniposide, The metabolism of Eszopiclone can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Eszopiclone may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Eszopiclone may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The serum concentration of Eszopiclone can be decreased when it is combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Eszopiclone is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of CNS depression can be increased when Tetracaine is combined with Eszopiclone.]
[S03AA02, tetracycline, The metabolism of Eszopiclone can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of CNS depression can be increased when Lurasidone is combined with Eszopiclone.]
[A04AD10, dronabinol, The risk or severity of CNS depression can be increased when Dronabinol is combined with Eszopiclone.]
[N04BC07, apomorphine, The risk or severity of CNS depression can be increased when Apomorphine is combined with Eszopiclone.]
[L04AX02, thalidomide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Eszopiclone can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, Eszopiclone may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of CNS depression can be increased when Thiethylperazine is combined with Eszopiclone.]
[N05CA19, thiopental, The risk or severity of CNS depression can be increased when Thiopental is combined with Eszopiclone.]
[N05AB08, thioproperazine, The risk or severity of CNS depression can be increased when Thioproperazine is combined with Eszopiclone.]
