[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Dexmedetomidine.]
[J01GA01, streptomycin, Dexmedetomidine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Dexmedetomidine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dexmedetomidine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01CG01, sulbactam, Dexmedetomidine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Dexmedetomidine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Dexmedetomidine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Dexmedetomidine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Dexmedetomidine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Dexmedetomidine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Dexmedetomidine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, Dexmedetomidine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Dexmedetomidine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tetracaine.]
[S03AA02, tetracycline, Dexmedetomidine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Apomorphine.]
[L04AX02, thalidomide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Dexmedetomidine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Dexmedetomidine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Dexmedetomidine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Dexmedetomidine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Dexmedetomidine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Dexmedetomidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Dexmedetomidine.]
[P01AB02, tinidazole, Dexmedetomidine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Dexmedetomidine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Dexmedetomidine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, Dexmedetomidine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Dexmedetomidine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Dexmedetomidine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Trazodone.]
