[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Imipramine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Imipramine.]
[J01GA01, streptomycin, Imipramine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Imipramine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01CG01, sulbactam, Imipramine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Imipramine may decrease the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Imipramine may decrease the hypoglycemic activities of Sulfamethoxazole.]
[S01AB02, sulfisoxazole, Imipramine may decrease the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Sulindac.]
[N05AL01, sulpiride, Imipramine may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AE07, suprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Suprofen.]
[A10BB04, glibornuride, Imipramine may decrease the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Imipramine may decrease the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Imipramine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Imipramine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Imipramine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Imipramine.]
[B01AE07, dabigatran etexilate, The serum concentration of Imipramine can be increased when it is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Imipramine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Imipramine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S03AA02, tetracycline, Imipramine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05AE05, lurasidone, Imipramine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
