[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Antipyrine.]
[J01GA01, streptomycin, Doxepin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01CG01, sulbactam, Doxepin may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Doxepin may decrease the hypoglycemic activities of Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Doxepin can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, Doxepin may decrease the hypoglycemic activities of Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Doxepin can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Doxepin can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Doxepin can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Doxepin may decrease the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Sulindac.]
[N05AL01, sulpiride, Doxepin may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AE07, suprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Suprofen.]
[A10BB04, glibornuride, Doxepin may decrease the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Doxepin may decrease the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Doxepin can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Doxepin.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01CB02, teniposide, The metabolism of Doxepin can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Doxepin.]
[B01AE07, dabigatran etexilate, Doxepin may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Doxepin can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Doxepin is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AE05, lurasidone, Doxepin may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L04AX02, thalidomide, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Doxepin.]
[P02CA02, thiabendazole, The metabolism of Doxepin can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Eribulin.]
[R06AD03, thiethylperazine, The serum concentration of Doxepin can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, The therapeutic efficacy of Doxepin can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The metabolism of Doxepin can be increased when combined with Thiopental.]
[N05AB08, thioproperazine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
