[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Antipyrine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01EC02, sulfadiazine, Amoxapine may decrease the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Amoxapine may decrease the hypoglycemic activities of Sulfamethoxazole.]
[S01AB02, sulfisoxazole, Amoxapine may decrease the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Sulindac.]
[N05AL01, sulpiride, Amoxapine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AE07, suprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Suprofen.]
[A10BB04, glibornuride, Amoxapine may decrease the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Amoxapine may decrease the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Azapropazone.]
[N06DA01, tacrine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Amoxapine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Amoxapine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Amoxapine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AE05, lurasidone, Amoxapine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L04AX02, thalidomide, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Amoxapine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Eribulin.]
[R06AD03, thiethylperazine, The serum concentration of Amoxapine can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The metabolism of Amoxapine can be increased when combined with Thiopental.]
[N05AB08, thioproperazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01BB04, aprindine, The metabolism of Amoxapine can be decreased when combined with Aprindine.]
[B02AB01, aprotinin, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Amoxapine is combined with Moxisylyte.]
[V04CJ01, thyrotropin, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin is combined with Amoxapine.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[B01AC05, ticlopidine, The metabolism of Amoxapine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Amoxapine can be decreased when combined with Timolol.]
[A10BB05, tolazamide, Amoxapine may decrease the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, Amoxapine may decrease the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Tolmetin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Amoxapine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Amoxapine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Amoxapine.]
