[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Paroxetine.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Sulindac.]
[N05AL01, sulpiride, Paroxetine may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Paroxetine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Paroxetine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The therapeutic efficacy of Tamoxifen can be decreased when used in combination with Paroxetine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Paroxetine.]
[L01CB02, teniposide, The metabolism of Paroxetine can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Terbutaline.]
[B01AE07, dabigatran etexilate, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Paroxetine can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Paroxetine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Tetracaine is combined with Paroxetine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Paroxetine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Paroxetine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Paroxetine.]
[L04AX02, thalidomide, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Paroxetine.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Paroxetine.]
[P02CA02, thiabendazole, The metabolism of Paroxetine can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Paroxetine.]
[L01AC01, thiotepa, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Paroxetine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Paroxetine.]
[N05AC02, thioridazine, Paroxetine may increase the QTc-prolonging activities of Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Paroxetine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Paroxetine.]
[B02AB01, aprotinin, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Aprotinin.]
