[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sertraline.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Sertraline is combined with Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sertraline.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Sertraline can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Sertraline can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Sertraline can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sertraline is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Sulindac is combined with Sertraline.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Sertraline.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Sertraline.]
[M01AE07, suprofen, The risk or severity of bleeding can be increased when Suprofen is combined with Sertraline.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Azapropazone is combined with Sertraline.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Sertraline.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Sertraline.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Sertraline.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Sertraline is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Sertraline can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Sertraline.]
