[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Fluvoxamine.]
[B01AD01, streptokinase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Streptokinase.]
[J01GA01, streptomycin, Fluvoxamine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fluvoxamine.]
[A02BX02, sucralfate, Fluvoxamine may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Fluvoxamine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Fluvoxamine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Fluvoxamine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Fluvoxamine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Fluvoxamine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Fluvoxamine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Fluvoxamine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Fluvoxamine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Fluvoxamine.]
[R03CC03, terbutaline, Fluvoxamine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Fluvoxamine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Fluvoxamine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Tetracaine is combined with Fluvoxamine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Fluvoxamine.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Fluvoxamine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Fluvoxamine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fluvoxamine.]
[L04AX02, thalidomide, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Fluvoxamine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Fluvoxamine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Fluvoxamine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Fluvoxamine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Fluvoxamine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Fluvoxamine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Fluvoxamine.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Fluvoxamine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Fluvoxamine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Fluvoxamine.]
[G04BE06, moxisylyte, Fluvoxamine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Fluvoxamine.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Fluvoxamine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Tiapride is combined with Fluvoxamine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Fluvoxamine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Fluvoxamine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Fluvoxamine.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Fluvoxamine.]
[S01AA12, tobramycin, Fluvoxamine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Fluvoxamine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Fluvoxamine.]
[C01DX11, trapidil, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Fluvoxamine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Fluvoxamine.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Fluvoxamine.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Fluvoxamine.]
