[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tranylcypromine.]
[B01AD01, streptokinase, Tranylcypromine may increase the orthostatic hypotensive activities of Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tranylcypromine.]
[J01EC02, sulfadiazine, Tranylcypromine may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Tranylcypromine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Tranylcypromine may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Tranylcypromine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Tranylcypromine.]
[A10BC01, glymidine, Tranylcypromine may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Tranylcypromine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Tranylcypromine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Tranylcypromine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Tranylcypromine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Tranylcypromine.]
