[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moclobemide.]
[B01AD01, streptokinase, Moclobemide may increase the orthostatic hypotensive activities of Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Moclobemide.]
[J01EC02, sulfadiazine, Moclobemide may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Moclobemide may increase the hypoglycemic activities of Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Moclobemide may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Moclobemide.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Moclobemide is combined with Sulthiame.]
[A10BB04, glibornuride, Moclobemide may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Moclobemide may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Moclobemide is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Moclobemide.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Moclobemide.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Moclobemide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Moclobemide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Moclobemide.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N04BC07, apomorphine, Moclobemide may increase the orthostatic hypotensive activities of Apomorphine.]
[L04AX02, thalidomide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Moclobemide.]
[R06AD03, thiethylperazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Thiethylperazine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Moclobemide.]
[N05AB08, thioproperazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Moclobemide is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Moclobemide.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Moclobemide is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Moclobemide can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Moclobemide.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Moclobemide.]
[A10BB05, tolazamide, Moclobemide may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Moclobemide may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, Moclobemide may increase the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Moclobemide.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome and seizure can be increased when Moclobemide is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Moclobemide can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Trapidil.]
[N06AX05, trazodone, Moclobemide may increase the serotonergic activities of Trazodone.]
[L01XF01, tretinoin, Moclobemide may increase the orthostatic hypotensive activities of Tretinoin.]
[C03DB02, triamterene, Moclobemide may increase the orthostatic hypotensive activities of Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Moclobemide.]
[C03AA06, trichlormethiazide, Moclobemide may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Alimemazine.]
