[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Mirtazapine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Sulindac.]
[N05AL01, sulpiride, Sulpiride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Mirtazapine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Mirtazapine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Mirtazapine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Terbutaline.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AE05, lurasidone, Lurasidone may increase the serotonergic activities of Mirtazapine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Mirtazapine.]
[N04BC07, apomorphine, Apomorphine may increase the serotonergic activities of Mirtazapine.]
[L04AX02, thalidomide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Mirtazapine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Mirtazapine.]
[P02CA02, thiabendazole, The metabolism of Mirtazapine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Mirtazapine.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AC02, thioridazine, Thioridazine may increase the serotonergic activities of Mirtazapine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Mirtazapine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Mirtazapine is combined with Moxisylyte.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[B01AC05, ticlopidine, The metabolism of Mirtazapine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, Tilidine may increase the serotonergic activities of Mirtazapine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Timolol.]
[M02AX02, tolazoline, Mirtazapine may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tolmetin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AX02, tramadol, Tramadol may increase the serotonergic activities of Mirtazapine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Mirtazapine.]
[N06AX05, trazodone, Trazodone may increase the serotonergic activities of Mirtazapine.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Mirtazapine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C03AA06, trichlormethiazide, Mirtazapine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04AA01, trihexyphenidyl, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02BA01, trimethaphan, Mirtazapine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the serotonergic activities of Mirtazapine.]
[R06AC04, tripelennamine, The metabolism of Mirtazapine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03BB01, butylscopolamine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Mirtazapine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may increase the serotonergic activities of Mirtazapine.]
[N06AX02, tryptophan, Tryptophan may increase the serotonergic activities of Mirtazapine.]
[C09CA09, azilsartan medoxomil, Mirtazapine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Mirtazapine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Mirtazapine.]
[L02BX03, abiraterone, The serum concentration of Mirtazapine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Mirtazapine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Mirtazapine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Mirtazapine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Rilpivirine.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Mirtazapine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Mirtazapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Mirtazapine.]
[C04AX07, vincamine, Mirtazapine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Mirtazapine.]
