[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bupropion.]
[J01GA01, streptomycin, Bupropion may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bupropion.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01CG01, sulbactam, Bupropion may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Bupropion can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Bupropion can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Bupropion can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Bupropion can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Bupropion can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Bupropion can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Bupropion can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Bupropion.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Bupropion is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Bupropion.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L02BA01, tamoxifen, The serum concentration of Bupropion can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Bupropion.]
[L01CB02, teniposide, The metabolism of Bupropion can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Bupropion may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Bupropion.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Bupropion is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Bupropion is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Bupropion is combined with Apomorphine.]
[L04AX02, thalidomide, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The risk or severity of seizure can be increased when Bupropion is combined with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Bupropion.]
[L01AC01, thiotepa, The serum concentration of Bupropion can be increased when it is combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Bupropion.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Bupropion.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Bupropion is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Bupropion.]
[G04BE06, moxisylyte, Bupropion may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Bupropion is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Bupropion can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Bupropion is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Bupropion.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01AA12, tobramycin, Bupropion may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Bupropion is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of seizure can be increased when Bupropion is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bupropion.]
[N06AX05, trazodone, The risk or severity of seizure can be increased when Bupropion is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Bupropion can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Bupropion.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Bupropion may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bupropion.]
