[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[B01AD01, streptokinase, The risk or severity of orthostatic hypotension and syncope can be increased when Streptokinase is combined with Duloxetine.]
[J01GA01, streptomycin, Duloxetine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Duloxetine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01CG01, sulbactam, Duloxetine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Duloxetine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Duloxetine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Duloxetine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Duloxetine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Duloxetine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Duloxetine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Duloxetine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Duloxetine.]
[L01CB02, teniposide, The metabolism of Duloxetine can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Duloxetine may increase the tachycardic activities of Terbutaline.]
[B01AE07, dabigatran etexilate, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Dabigatran etexilate.]
[G03BA03, testosterone, Duloxetine may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Duloxetine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Tetracaine is combined with Duloxetine.]
[S03AA02, tetracycline, Duloxetine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Duloxetine.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N04BC07, apomorphine, The risk or severity of orthostatic hypotension and syncope can be increased when Apomorphine is combined with Duloxetine.]
[L04AX02, thalidomide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Duloxetine.]
[P02CA02, thiabendazole, Duloxetine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Duloxetine.]
[N05CA19, thiopental, The risk or severity of orthostatic hypotension and syncope can be increased when Thiopental is combined with Duloxetine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Duloxetine.]
[N05AC02, thioridazine, The risk or severity of orthostatic hypotension and syncope can be increased when Thioridazine is combined with Duloxetine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Duloxetine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Duloxetine.]
[G04BE06, moxisylyte, Duloxetine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Duloxetine.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Duloxetine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Tiapride is combined with Duloxetine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Duloxetine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Duloxetine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Duloxetine.]
[P01AB02, tinidazole, Duloxetine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Duloxetine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of orthostatic hypotension and syncope can be increased when Tolazoline is combined with Duloxetine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Duloxetine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Duloxetine.]
[C01DX11, trapidil, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Duloxetine.]
[L01XF01, tretinoin, The risk or severity of orthostatic hypotension and syncope can be increased when Tretinoin is combined with Duloxetine.]
[C03DB02, triamterene, The risk or severity of orthostatic hypotension and syncope can be increased when Triamterene is combined with Duloxetine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Duloxetine.]
[C03AA06, trichlormethiazide, The risk or severity of hyponatremia can be increased when Duloxetine is combined with Trichlormethiazide.]
