[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vilazodone.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vilazodone.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Vilazodone.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Vilazodone is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Vilazodone is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Vilazodone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Vilazodone.]
[L01CB02, teniposide, The metabolism of Vilazodone can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Vilazodone.]
[G03BA03, testosterone, The metabolism of Vilazodone can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Vilazodone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vilazodone.]
[L04AX02, thalidomide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Vilazodone.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thiethylperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Vilazodone.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Vilazodone.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Vilazodone.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Vilazodone is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Vilazodone.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Vilazodone.]
[M02AX02, tolazoline, Vilazodone may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Vilazodone.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Vilazodone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Vilazodone can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Vilazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Vilazodone.]
[C03AA06, trichlormethiazide, Vilazodone may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Trifluperidol.]
[N05AA05, triflupromazine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Vilazodone.]
[C02BA01, trimethaphan, Vilazodone may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Vilazodone.]
[R06AC04, tripelennamine, The metabolism of Vilazodone can be decreased when combined with Tripelennamine.]
