[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[J01GA01, streptomycin, Vortioxetine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vortioxetine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01CG01, sulbactam, Vortioxetine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Vortioxetine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Vortioxetine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Vortioxetine can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Vortioxetine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Vortioxetine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Vortioxetine is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Vortioxetine can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Vortioxetine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Vortioxetine.]
[A10BB04, glibornuride, The metabolism of Vortioxetine can be decreased when combined with Glibornuride.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Azapropazone is combined with Vortioxetine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Vortioxetine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Vortioxetine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Vortioxetine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Vortioxetine.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Vortioxetine can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Vortioxetine can be decreased when combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N04BC07, apomorphine, The risk or severity of hypotension can be increased when Vortioxetine is combined with Apomorphine.]
[L04AX02, thalidomide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Vortioxetine.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Vortioxetine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Vortioxetine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Vortioxetine can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Vortioxetine can be decreased when combined with Aprindine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Vortioxetine is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tiapride.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Vortioxetine is combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Vortioxetine can be decreased when combined with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S01AA12, tobramycin, Vortioxetine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M02AX02, tolazoline, Vortioxetine may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Vortioxetine can be decreased when combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Vortioxetine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Vortioxetine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Vortioxetine can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Vortioxetine is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Vortioxetine.]
[L01XF01, tretinoin, The metabolism of Vortioxetine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Vortioxetine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Vortioxetine.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Vortioxetine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Vortioxetine.]
[C02BA01, trimethaphan, Vortioxetine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Vortioxetine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Vortioxetine.]
[R06AC04, tripelennamine, The metabolism of Vortioxetine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Vortioxetine.]
[A03BB01, butylscopolamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Vortioxetine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vortioxetine can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Vortioxetine.]
[C09CA09, azilsartan medoxomil, Vortioxetine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Vortioxetine.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R02AA14, oxyquinoline, Vortioxetine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Vortioxetine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Vortioxetine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Vortioxetine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Vortioxetine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Vortioxetine can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Vortioxetine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Vortioxetine.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Indacaterol is combined with Vortioxetine.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Vortioxetine is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Vortioxetine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Vortioxetine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vortioxetine can be decreased when combined with Vinblastine.]
