[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Caffeine.]
[N03AX03, sulthiame, Sulthiame may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Caffeine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Caffeine.]
[N05CD07, temazepam, The therapeutic efficacy of Temazepam can be decreased when used in combination with Caffeine.]
[L01CB02, teniposide, Caffeine may decrease the excretion rate of Teniposide which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Caffeine.]
[G03BA03, testosterone, Caffeine may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Caffeine can be decreased when combined with Dronabinol.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Caffeine.]
[R03DA04, theophylline, The risk or severity of adverse effects can be increased when Caffeine is combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Caffeine can be decreased when combined with Thiabendazole.]
[N05CA19, thiopental, The serum concentration of Caffeine can be decreased when it is combined with Thiopental.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Caffeine.]
[B01AC05, ticlopidine, The metabolism of Caffeine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Caffeine.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Caffeine.]
[N05CD05, triazolam, The therapeutic efficacy of Triazolam can be decreased when used in combination with Caffeine.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Caffeine.]
[N03AC02, trimethadione, Trimethadione may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA08, troleandomycin, The metabolism of Caffeine can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Caffeine.]
[L02BX03, abiraterone, The serum concentration of Caffeine can be increased when it is combined with Abiraterone.]
[N03AX21, ezogabine, Ezogabine may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Caffeine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Caffeine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Caffeine.]
[N06AX09, viloxazine, The metabolism of Caffeine can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, Caffeine may decrease the excretion rate of Vincristine which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Caffeine.]
[J05AF01, zidovudine, Caffeine may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N03AX14, levetiracetam, Levetiracetam may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC01, vemurafenib, The serum concentration of Caffeine can be increased when it is combined with Vemurafenib.]
[R03DC01, zafirlukast, The serum concentration of Zafirlukast can be decreased when it is combined with Caffeine.]
[J01MA13, trovafloxacin, The metabolism of Caffeine can be decreased when combined with Trovafloxacin.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Caffeine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Caffeine can be decreased when combined with Peginterferon alfa-2a.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Caffeine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Caffeine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Caffeine.]
[L04AA31, teriflunomide, The serum concentration of Caffeine can be decreased when it is combined with Teriflunomide.]
[N05CA04, barbital, The serum concentration of Caffeine can be decreased when it is combined with Barbital.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Caffeine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Caffeine.]
[N06DA02, donepezil, Caffeine may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Caffeine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Caffeine.]
[L01EA05, ponatinib, Caffeine may decrease the excretion rate of Ponatinib which could result in a higher serum level.]
[B01AF02, apixaban, Caffeine may decrease the excretion rate of Apixaban which could result in a higher serum level.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Caffeine.]
[J01MA15, gemifloxacin, The metabolism of Caffeine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Caffeine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, Caffeine may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[H03AA04, tiratricol, Tiratricol may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Caffeine.]
[M01AH01, celecoxib, Caffeine may decrease the excretion rate of Celecoxib which could result in a higher serum level.]
[L04AA18, everolimus, The metabolism of Caffeine can be decreased when combined with Everolimus.]
[L03AB03, gamma-interferon, The metabolism of Caffeine can be decreased when combined with Interferon Gamma.]
[L01EC02, dabrafenib, Caffeine may decrease the excretion rate of Dabrafenib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Caffeine.]
[L01EB03, afatinib, Caffeine may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[J05AJ03, dolutegravir, Caffeine may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C02KX05, riociguat, Caffeine may increase the hypotensive activities of Riociguat.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP05, simeprevir, The metabolism of Caffeine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Caffeine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Caffeine.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Caffeine is combined with Droxidopa.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Acebutolol is combined with Caffeine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Caffeine.]
[L04AA32, apremilast, The metabolism of Caffeine can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Caffeine.]
[L04AC11, siltuximab, The metabolism of Caffeine can be increased when combined with Siltuximab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Caffeine.]
[L01XH04, belinostat, The metabolism of Caffeine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, Caffeine may decrease the excretion rate of Idelalisib which could result in a higher serum level.]
[R03AC19, olodaterol, Caffeine may increase the hyperkalemic activities of Olodaterol.]
[L03AB13, peginterferon beta-1a, The metabolism of Caffeine can be decreased when combined with Peginterferon beta-1a.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Caffeine.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Caffeine.]
[L04AC10, secukinumab, The metabolism of Caffeine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, Caffeine may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01EX08, lenvatinib, Caffeine may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
