[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Donepezil.]
[L04AA27, fingolimod, Donepezil may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Donepezil.]
[J01EC02, sulfadiazine, The metabolism of Donepezil can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Donepezil can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Donepezil can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Donepezil can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Donepezil can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Donepezil can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Donepezil can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Donepezil.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Donepezil is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Donepezil.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Donepezil.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Donepezil.]
[L01CB02, teniposide, The metabolism of Donepezil can be decreased when combined with Teniposide.]
[G03BA03, testosterone, The metabolism of Donepezil can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Donepezil.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Donepezil is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Donepezil is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Donepezil.]
[L04AX02, thalidomide, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Donepezil.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Donepezil.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Donepezil.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Donepezil can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Donepezil is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Donepezil.]
[G04BE06, moxisylyte, Donepezil may increase the neuromuscular blocking activities of Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Donepezil is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Donepezil can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Donepezil is combined with Tilidine.]
[S01ED01, timolol, Donepezil may increase the bradycardic activities of Timolol.]
[A10BB05, tolazamide, The metabolism of Donepezil can be decreased when combined with Tolazamide.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Donepezil.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Donepezil is combined with Tolperisone.]
[N02AX02, tramadol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Donepezil.]
[N06AF04, tranylcypromine, The metabolism of Donepezil can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Donepezil is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Donepezil can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Triamcinolone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Triazolam.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Donepezil.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Donepezil.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Donepezil is combined with Trifluperidol.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Donepezil.]
[D07AC02, fluclorolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Donepezil.]
[R03BA07, mometasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be decreased when used in combination with Donepezil.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Donepezil.]
[C02BA01, trimethaphan, The therapeutic efficacy of Trimethaphan can be decreased when used in combination with Donepezil.]
[J01EA01, trimethoprim, The metabolism of Donepezil can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Donepezil.]
[R06AC04, tripelennamine, The metabolism of Donepezil can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Donepezil.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Donepezil.]
[J01FA08, troleandomycin, The metabolism of Donepezil can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Donepezil can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The therapeutic efficacy of Tropicamide can be decreased when used in combination with Donepezil.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Donepezil.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Donepezil.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Donepezil can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Donepezil can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Donepezil can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Donepezil can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, Rilpivirine may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Donepezil is combined with Ezogabine.]
[B01AC24, ticagrelor, The metabolism of Donepezil can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Donepezil can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Donepezil can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Donepezil can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The metabolism of Donepezil can be increased when combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Donepezil can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Donepezil is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Donepezil can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Donepezil is combined with Levetiracetam.]
[L01EC01, vemurafenib, Vemurafenib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Donepezil.]
[R03DC01, zafirlukast, The metabolism of Donepezil can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N05AE04, ziprasidone, The therapeutic efficacy of Ziprasidone can be decreased when used in combination with Donepezil.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Donepezil.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Donepezil.]
[G04BD07, tolterodine, The therapeutic efficacy of Tolterodine can be decreased when used in combination with Donepezil.]
[C07AB03, atenolol, Donepezil may increase the bradycardic activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Donepezil can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Donepezil.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Donepezil.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[H02AB11, prednylidene, The therapeutic efficacy of Donepezil can be decreased when used in combination with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Donepezil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[A08AA11, lorcaserin, The metabolism of Donepezil can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Donepezil can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Donepezil can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Donepezil can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Donepezil can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, Teriflunomide may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[H02AA01, aldosterone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Aldosterone.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Donepezil.]
[J05AE04, nelfinavir, The metabolism of Donepezil can be decreased when combined with Nelfinavir.]
