[L04AA27, fingolimod, Rivastigmine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Rivastigmine.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Rivastigmine.]
[G04BE06, moxisylyte, Rivastigmine may increase the neuromuscular blocking activities of Moxisylyte.]
[S01ED01, timolol, Timolol may increase the bradycardic activities of Rivastigmine.]
[N02AX02, tramadol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Rivastigmine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Triamcinolone.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Rivastigmine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Rivastigmine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Rivastigmine.]
[R03BA07, mometasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be decreased when used in combination with Rivastigmine.]
[N03AC02, trimethadione, Trimethadione may increase the bradycardic activities of Rivastigmine.]
[C02BA01, trimethaphan, Rivastigmine may increase the neuromuscular blocking activities of Trimethaphan.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Rivastigmine.]
[M03AA02, tubocurarine, Rivastigmine may increase the neuromuscular blocking activities of Tubocurarine.]
[C08DA01, verapamil, Verapamil may increase the bradycardic activities of Rivastigmine.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Rivastigmine.]
[N05AE04, ziprasidone, The therapeutic efficacy of Ziprasidone can be decreased when used in combination with Rivastigmine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Rivastigmine.]
[G04BD07, tolterodine, The therapeutic efficacy of Tolterodine can be decreased when used in combination with Rivastigmine.]
[C07AB03, atenolol, Atenolol may increase the bradycardic activities of Rivastigmine.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Rivastigmine.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Rivastigmine.]
[H02AB11, prednylidene, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Prednylidene.]
[G04BD12, mirabegron, Rivastigmine may increase the neuromuscular blocking activities of Mirabegron.]
[H02AA01, aldosterone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Aldosterone.]
[L01EX05, regorafenib, Rivastigmine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Rivastigmine.]
[C08CA13, lercanidipine, Lercanidipine may increase the bradycardic activities of Rivastigmine.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Rivastigmine.]
[L04AA29, tofacitinib, Rivastigmine may increase the bradycardic activities of Tofacitinib.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Rivastigmine.]
[G04BD10, darifenacin, The therapeutic efficacy of Darifenacin can be decreased when used in combination with Rivastigmine.]
[H01CB05, pasireotide, Rivastigmine may increase the bradycardic activities of Pasireotide.]
[C04AX11, bencyclane, Rivastigmine may increase the bradycardic activities of Bencyclane.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the bradycardic activities of Rivastigmine.]
[N04AC01, benztropine, The therapeutic efficacy of Benzatropine can be decreased when used in combination with Rivastigmine.]
[C08EA02, bepridil, Rivastigmine may increase the bradycardic activities of Bepridil.]
[C07AB04, acebutolol, Acebutolol may increase the bradycardic activities of Rivastigmine.]
[S03BA03, betamethasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the bradycardic activities of Rivastigmine.]
[L01ED02, ceritinib, Rivastigmine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be decreased when used in combination with Rivastigmine.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Rivastigmine.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Methacholine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Rivastigmine.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Rivastigmine.]
[C01EB17, ivabradine, Rivastigmine may increase the bradycardic activities of Ivabradine.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Rivastigmine.]
[R06AB01, brompheniramine, The therapeutic efficacy of Brompheniramine can be decreased when used in combination with Rivastigmine.]
[C08CA01, amlodipine, Amlodipine may increase the bradycardic activities of Rivastigmine.]
[C07AA19, bupranolol, Bupranolol may increase the bradycardic activities of Rivastigmine.]
[R03CC12, bambuterol, Rivastigmine may increase the neuromuscular blocking activities of Bambuterol.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Rivastigmine.]
[S01HA02, benoxinate, Rivastigmine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Rivastigmine may increase the neuromuscular blocking activities of Benzonatate.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Bethanechol.]
