[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Galantamine.]
[L04AA27, fingolimod, Galantamine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Galantamine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sulpiride.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Galantamine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Terbutaline.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Galantamine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Apomorphine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Galantamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Eribulin.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Galantamine.]
[N05AC02, thioridazine, The metabolism of Galantamine can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Galantamine.]
[G04BE06, moxisylyte, Galantamine may increase the neuromuscular blocking activities of Moxisylyte.]
[B01AC05, ticlopidine, The metabolism of Galantamine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Galantamine may increase the bradycardic activities of Timolol.]
[N02AX02, tramadol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Galantamine.]
[N06AF04, tranylcypromine, The metabolism of Galantamine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Galantamine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Triamcinolone.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Galantamine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Galantamine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluclorolone.]
