[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Memantine.]
[J01GA01, streptomycin, Memantine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Memantine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01CG01, sulbactam, Memantine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Memantine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Memantine.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Memantine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Memantine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AE05, lurasidone, The therapeutic efficacy of Memantine can be decreased when used in combination with Lurasidone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Memantine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Memantine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Memantine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Memantine can be decreased when used in combination with Thiothixene.]
[G04BE06, moxisylyte, Memantine may increase the neuromuscular blocking activities of Moxisylyte.]
[N05AL03, tiapride, Memantine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Memantine.]
[S01ED01, timolol, Memantine may increase the bradycardic activities of Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA12, tobramycin, Memantine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V04CA01, tolbutamide, Memantine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AX02, tramadol, The risk or severity of adverse effects can be increased when Tramadol is combined with Memantine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Memantine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Memantine.]
[A16AX12, trientine, Memantine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Memantine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Memantine.]
[R03BA07, mometasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be decreased when used in combination with Memantine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Memantine.]
[C02BA01, trimethaphan, Memantine may increase the neuromuscular blocking activities of Trimethaphan.]
