[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Pyridostigmine.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Pyridostigmine.]
[G04BE06, moxisylyte, Pyridostigmine may increase the neuromuscular blocking activities of Moxisylyte.]
[S01ED01, timolol, Pyridostigmine may increase the bradycardic activities of Timolol.]
[N02AX02, tramadol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Pyridostigmine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Triamcinolone.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Pyridostigmine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Pyridostigmine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Pyridostigmine.]
[R03BA07, mometasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be decreased when used in combination with Pyridostigmine.]
[C02BA01, trimethaphan, Pyridostigmine may increase the neuromuscular blocking activities of Trimethaphan.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Pyridostigmine.]
[M03AA02, tubocurarine, Pyridostigmine may increase the neuromuscular blocking activities of Tubocurarine.]
[N05AE04, ziprasidone, The therapeutic efficacy of Ziprasidone can be decreased when used in combination with Pyridostigmine.]
[G04BD07, tolterodine, The therapeutic efficacy of Tolterodine can be decreased when used in combination with Pyridostigmine.]
[C07AB03, atenolol, Pyridostigmine may increase the bradycardic activities of Atenolol.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Pyridostigmine.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Pyridostigmine.]
[H02AB11, prednylidene, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Prednylidene.]
[G04BD12, mirabegron, Pyridostigmine may increase the neuromuscular blocking activities of Mirabegron.]
[H02AA01, aldosterone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Aldosterone.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Pyridostigmine.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Pyridostigmine.]
[G04BD10, darifenacin, The therapeutic efficacy of Darifenacin can be decreased when used in combination with Pyridostigmine.]
[N04AC01, benztropine, The therapeutic efficacy of Benzatropine can be decreased when used in combination with Pyridostigmine.]
[C07AB04, acebutolol, Pyridostigmine may increase the bradycardic activities of Acebutolol.]
[S03BA03, betamethasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Pyridostigmine may increase the bradycardic activities of Betaxolol.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be decreased when used in combination with Pyridostigmine.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Pyridostigmine.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Methacholine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Pyridostigmine.]
