[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Flunarizine.]
[L04AA27, fingolimod, Flunarizine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flunarizine.]
[J01EC02, sulfadiazine, The metabolism of Flunarizine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Flunarizine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Flunarizine can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Flunarizine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Flunarizine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Flunarizine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Flunarizine can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Sulindac is combined with Flunarizine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Flunarizine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Flunarizine is combined with Sulthiame.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Azapropazone.]
[L01BB02, mercaptopurine, Flunarizine may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA01, tacrine, The metabolism of Flunarizine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Flunarizine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Flunarizine.]
[L01CB02, teniposide, The metabolism of Flunarizine can be decreased when combined with Teniposide.]
[G03BA03, testosterone, The metabolism of Flunarizine can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Flunarizine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Flunarizine.]
[L04AX02, thalidomide, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Flunarizine may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Flunarizine.]
[P02CA02, thiabendazole, The metabolism of Flunarizine can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Flunarizine.]
[N05CA19, thiopental, The metabolism of Flunarizine can be increased when combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of hypotension can be increased when Thioproperazine is combined with Flunarizine.]
[N05AC02, thioridazine, The metabolism of Flunarizine can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Flunarizine.]
