[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[J01GA01, streptomycin, Chloroquine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Chloroquine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01CG01, sulbactam, Chloroquine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Sulfadiazine is combined with Chloroquine.]
[J01EC01, sulfamethoxazole, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Sulfamethoxazole.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Sulfapyridine.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Chloroquine.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Chloroquine.]
[N03AX03, sulthiame, The therapeutic efficacy of Sulthiame can be decreased when used in combination with Chloroquine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Chloroquine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Chloroquine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Chloroquine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Chloroquine.]
[B01AE07, dabigatran etexilate, Chloroquine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Chloroquine may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Chloroquine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Tetracaine.]
[S03AA02, tetracycline, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Chloroquine.]
[A04AD10, dronabinol, The metabolism of Chloroquine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Chloroquine.]
[L04AX02, thalidomide, The metabolism of Chloroquine can be increased when combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Chloroquine.]
[P02CA02, thiabendazole, Chloroquine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Chloroquine.]
[R06AD03, thiethylperazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Thiethylperazine.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Chloroquine.]
[N05AB08, thioproperazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Chloroquine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Chloroquine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Chloroquine.]
[G04BE06, moxisylyte, Chloroquine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Chloroquine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Chloroquine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Chloroquine.]
[P01AB02, tinidazole, Chloroquine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Chloroquine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Chloroquine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Chloroquine.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Chloroquine.]
[N06AF04, tranylcypromine, The metabolism of Chloroquine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Chloroquine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Chloroquine.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Chloroquine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AA05, triflupromazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Triflupromazine.]
[R03BA07, mometasone, The metabolism of Chloroquine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Chloroquine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Chloroquine can be decreased when combined with Trimethadione.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Chloroquine is combined with Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Chloroquine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Chloroquine.]
[R06AC04, tripelennamine, The metabolism of Chloroquine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Chloroquine.]
[J01FA08, troleandomycin, The metabolism of Chloroquine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Chloroquine.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Chloroquine.]
[R03DX07, roflumilast, Chloroquine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Chloroquine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Vandetanib.]
[R02AA14, oxyquinoline, Chloroquine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Chloroquine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Chloroquine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Chloroquine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Chloroquine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Chloroquine can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Chloroquine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The therapeutic efficacy of Ezogabine can be decreased when used in combination with Chloroquine.]
[B01AF01, rivaroxaban, Chloroquine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Chloroquine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Chloroquine.]
[C08DA01, verapamil, The metabolism of Chloroquine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Chloroquine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Chloroquine can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Chloroquine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[B01AA03, warfarin, Chloroquine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Chloroquine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Chloroquine.]
[J05AE02, indinavir, The metabolism of Chloroquine can be decreased when combined with Indinavir.]
