[S02DA03, antipyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Antipyrine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Hydroxychloroquine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Hydroxychloroquine.]
[L04AA27, fingolimod, Hydroxychloroquine may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Hydroxychloroquine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Hydroxychloroquine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Hydroxychloroquine.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Sulpiride.]
[N03AX03, sulthiame, The therapeutic efficacy of Sulthiame can be decreased when used in combination with Hydroxychloroquine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Hydroxychloroquine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Hydroxychloroquine.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Hydroxychloroquine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Hydroxychloroquine.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Hydroxychloroquine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Hydroxychloroquine.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Hydroxychloroquine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Hydroxychloroquine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Hydroxychloroquine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Hydroxychloroquine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Eribulin.]
