[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Quinine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Quinine.]
[B01AD01, streptokinase, The therapeutic efficacy of Streptokinase can be increased when used in combination with Quinine.]
[J01GA01, streptomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Streptomycin.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Quinine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Quinine.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Quinine is combined with Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Quinine can be decreased when combined with Sulfinpyrazone.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Quinine can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Quinine.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Quinine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Quinine is combined with Sulthiame.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Quinine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Glymidine.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Quinine.]
[N06DA01, tacrine, The metabolism of Quinine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Quinine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Quinine.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Quinine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Quinine.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Quinine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Quinine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Quinine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Tetracaine.]
[S03AA02, tetracycline, The serum concentration of Quinine can be increased when it is combined with Tetracycline.]
[N05AE05, lurasidone, The therapeutic efficacy of Quinine can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Quinine.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Quinine.]
[L04AX02, thalidomide, Quinine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Quinine.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Quinine.]
[P02CA02, thiabendazole, The metabolism of Quinine can be decreased when combined with Thiabendazole.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Quinine is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Quinine.]
[R06AD03, thiethylperazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Quinine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Quinine.]
[N05AB08, thioproperazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Quinine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Quinine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Quinine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Quinine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Quinine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Quinine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Quinine.]
[S01AA12, tobramycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Tobramycin.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Tolazamide.]
[M02AX02, tolazoline, Quinine may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Tolbutamide.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Quinine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Quinine.]
[N06AF04, tranylcypromine, The metabolism of Quinine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Quinine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Quinine.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Quinine.]
[C03DB02, triamterene, The metabolism of Quinine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Quinine is combined with Triazolam.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, Quinine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Quinine is combined with Trifluperidol.]
