[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Diethylcarbamazine.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Diethylcarbamazine.]
[G04BE06, moxisylyte, Diethylcarbamazine may increase the neuromuscular blocking activities of Moxisylyte.]
[S01ED01, timolol, Diethylcarbamazine may increase the bradycardic activities of Timolol.]
[N02AX02, tramadol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Diethylcarbamazine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Triamcinolone.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Diethylcarbamazine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Diethylcarbamazine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Diethylcarbamazine.]
[R03BA07, mometasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be decreased when used in combination with Diethylcarbamazine.]
[C02BA01, trimethaphan, Diethylcarbamazine may increase the neuromuscular blocking activities of Trimethaphan.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Diethylcarbamazine.]
[M03AA02, tubocurarine, Diethylcarbamazine may increase the neuromuscular blocking activities of Tubocurarine.]
[N05AE04, ziprasidone, The therapeutic efficacy of Ziprasidone can be decreased when used in combination with Diethylcarbamazine.]
[G04BD07, tolterodine, The therapeutic efficacy of Tolterodine can be decreased when used in combination with Diethylcarbamazine.]
[C07AB03, atenolol, Diethylcarbamazine may increase the bradycardic activities of Atenolol.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Diethylcarbamazine.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Diethylcarbamazine.]
[H02AB11, prednylidene, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Prednylidene.]
[G04BD12, mirabegron, Diethylcarbamazine may increase the neuromuscular blocking activities of Mirabegron.]
[H02AA01, aldosterone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Aldosterone.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Diethylcarbamazine.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Diethylcarbamazine.]
[G04BD10, darifenacin, The therapeutic efficacy of Darifenacin can be decreased when used in combination with Diethylcarbamazine.]
[N04AC01, benztropine, The therapeutic efficacy of Benzatropine can be decreased when used in combination with Diethylcarbamazine.]
[C07AB04, acebutolol, Diethylcarbamazine may increase the bradycardic activities of Acebutolol.]
[S03BA03, betamethasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Diethylcarbamazine may increase the bradycardic activities of Betaxolol.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be decreased when used in combination with Diethylcarbamazine.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Diethylcarbamazine.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Methacholine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Diethylcarbamazine.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Diethylcarbamazine.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Diethylcarbamazine.]
[R06AB01, brompheniramine, The therapeutic efficacy of Brompheniramine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA19, bupranolol, Diethylcarbamazine may increase the bradycardic activities of Bupranolol.]
[R03CC12, bambuterol, Diethylcarbamazine may increase the neuromuscular blocking activities of Bambuterol.]
[S01HA02, benoxinate, Diethylcarbamazine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Diethylcarbamazine may increase the neuromuscular blocking activities of Benzonatate.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Bethanechol.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Acetylcholine.]
[C07AB07, bisoprolol, Diethylcarbamazine may increase the bradycardic activities of Bisoprolol.]
[C07AA17, bopindolol, Diethylcarbamazine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Diethylcarbamazine.]
[R03BA02, budesonide, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Budesonide.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Diethylcarbamazine.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Carbamoylcholine.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Diethylcarbamazine.]
[C07AG02, carvedilol, Diethylcarbamazine may increase the bradycardic activities of Carvedilol.]
[C07AB08, celiprolol, Diethylcarbamazine may increase the bradycardic activities of Celiprolol.]
[N01BA04, chloroprocaine, Diethylcarbamazine may increase the neuromuscular blocking activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Diethylcarbamazine.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Diethylcarbamazine.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Amifampridine.]
[H02AB14, cloprednol, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Cloprednol.]
[H02AB17, cortivazol, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Cortivazol.]
[H02AB13, deflazacort, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Deflazacort.]
[C08CA16, clevidipine, Diethylcarbamazine may increase the neuromuscular blocking activities of Clevidipine.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Diethylcarbamazine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Diethylcarbamazine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Diethylcarbamazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Chlorprothixene can be decreased when used in combination with Diethylcarbamazine.]
[R03BA03, flunisolide, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Flunisolide.]
[N05AH02, clozapine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Diethylcarbamazine.]
[S02DA02, cocaine, Diethylcarbamazine may increase the neuromuscular blocking activities of Cocaine.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Diethylcarbamazine.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Diethylcarbamazine.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Diethylcarbamazine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Ciclesonide.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Diethylcarbamazine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Diethylcarbamazine.]
[S01BA03, cortisone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Cortisone.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA14, mepindolol, Diethylcarbamazine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Meprednisone.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Diethylcarbamazine.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Cyproheptadine can be decreased when used in combination with Diethylcarbamazine.]
[C07AB12, nebivolol, Diethylcarbamazine may increase the bradycardic activities of Nebivolol.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Diethylcarbamazine.]
[N06AB10, escitalopram, The therapeutic efficacy of Escitalopram can be decreased when used in combination with Diethylcarbamazine.]
[G04BD08, solifenacin, The therapeutic efficacy of Solifenacin can be decreased when used in combination with Diethylcarbamazine.]
[N06AA01, desipramine, The therapeutic efficacy of Desipramine can be decreased when used in combination with Diethylcarbamazine.]
[D07XC02, desoximetasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Desoxycortone.]
[S03BA01, dexamethasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Diethylcarbamazine.]
[G04BD04, oxybutynin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Diethylcarbamazine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Diethylcarbamazine.]
[R05DA09, dextromethorphan, The therapeutic efficacy of Dextromethorphan can be decreased when used in combination with Diethylcarbamazine.]
[N06AB05, paroxetine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Diethylcarbamazine.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Diethylcarbamazine.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Diethylcarbamazine.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluocinolone acetonide.]
[D07XC04, diflucortolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Diethylcarbamazine.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Diethylcarbamazine.]
[R06AA02, diphenhydramine, The therapeutic efficacy of Diphenhydramine can be decreased when used in combination with Diethylcarbamazine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Dipyridamole.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Diethylcarbamazine.]
[N06AA16, dothiepin, The therapeutic efficacy of Dosulepin can be decreased when used in combination with Diethylcarbamazine.]
[N06AA12, doxepin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Diethylcarbamazine.]
[R06AA09, doxylamine, The therapeutic efficacy of Doxylamine can be decreased when used in combination with Diethylcarbamazine.]
[C07AB13, talinolol, Diethylcarbamazine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Corticotropin.]
[C07AA16, tertatolol, Diethylcarbamazine may increase the bradycardic activities of Tertatolol.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Diethylcarbamazine.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Diethylcarbamazine.]
[H02CA01, trilostane, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Trilostane.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Diethylcarbamazine.]
[S01FB02, ephedrine, Diethylcarbamazine may increase the neuromuscular blocking activities of Ephedrine.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluticasone.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Diethylcarbamazine.]
[R06AX12, terfenadine, The therapeutic efficacy of Terfenadine can be decreased when used in combination with Diethylcarbamazine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Diethylcarbamazine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Diethylcarbamazine.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Flumethasone.]
[D07AC08, fluocinonide, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluocortolone.]
[S01CB05, fluorometholone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Fluorometholone.]
[N06AB03, fluoxetine, The therapeutic efficacy of Fluoxetine can be decreased when used in combination with Diethylcarbamazine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Diethylcarbamazine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Diethylcarbamazine.]
[C07AB09, esmolol, Diethylcarbamazine may increase the bradycardic activities of Esmolol.]
