[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Phenylephrine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sulindac.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Phenylephrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Phenylephrine.]
[N05CD07, temazepam, The risk or severity of hypertension can be decreased when Temazepam is combined with Phenylephrine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Phenylephrine is combined with Terbutaline.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Phenylephrine.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Phenylephrine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Phenylephrine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Phenylephrine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Phenylephrine is combined with Moxisylyte.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Protirelin.]
[S01ED01, timolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Timolol.]
[M02AX02, tolazoline, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Tolmetin.]
[N02AX02, tramadol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Phenylephrine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypertensive activities of Phenylephrine.]
[N06AX05, trazodone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Trazodone.]
[S01BA05, triamcinolone, The risk or severity of hypertension can be increased when Triamcinolone is combined with Phenylephrine.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Phenylephrine.]
[N05CD05, triazolam, The risk or severity of hypertension can be decreased when Triazolam is combined with Phenylephrine.]
[C03AA06, trichlormethiazide, Phenylephrine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hypertension can be increased when Clobetasone is combined with Phenylephrine.]
[S01BA10, alclometasone, The risk or severity of hypertension can be increased when Alclometasone is combined with Phenylephrine.]
[D07AC02, fluclorolone, The risk or severity of hypertension can be increased when Fluclorolone is combined with Phenylephrine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Phenylephrine.]
[R03BA07, mometasone, The risk or severity of hypertension can be increased when Mometasone is combined with Phenylephrine.]
[A03AA05, trimebutine, The risk or severity of hypertension can be decreased when Trimebutine is combined with Phenylephrine.]
[N03AC02, trimethadione, The risk or severity of hypertension can be decreased when Trimethadione is combined with Phenylephrine.]
[C02BA01, trimethaphan, Phenylephrine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the vasopressor activities of Phenylephrine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Phenylephrine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Phenylephrine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Indacaterol.]
[C08DA01, verapamil, The risk or severity of hypertension can be decreased when Verapamil is combined with Phenylephrine.]
[C04AX07, vincamine, Phenylephrine may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Phenylephrine.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Phenylephrine is combined with Xenon.]
[C03BA10, xipamide, Phenylephrine may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Zuclopenthixol.]
[N05AE04, ziprasidone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Ziprasidone.]
[G04BD07, tolterodine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Tolterodine.]
[C07AB03, atenolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Atenolol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Phenylephrine.]
[H02AB11, prednylidene, The risk or severity of hypertension can be increased when Prednylidene is combined with Phenylephrine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be increased when combined with Phenylephrine.]
[G04BE10, avanafil, The risk or severity of hypertension can be decreased when Avanafil is combined with Phenylephrine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Phenylephrine.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Phenylephrine is combined with Mirabegron.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of hypertension can be increased when Aldosterone is combined with Phenylephrine.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be increased when combined with Phenylephrine.]
[N04BD02, rasagiline, Rasagiline may increase the hypertensive activities of Phenylephrine.]
[C08CA13, lercanidipine, The risk or severity of hypertension can be decreased when Lercanidipine is combined with Phenylephrine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Phenylephrine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be increased when combined with Phenylephrine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Phenylephrine is combined with Diethyl ether.]
[G04BE03, sildenafil, The risk or severity of hypertension can be decreased when Sildenafil is combined with Phenylephrine.]
[C04AX11, bencyclane, The risk or severity of hypertension can be decreased when Bencyclane is combined with Phenylephrine.]
[C03AA01, bendroflumethiazide, Phenylephrine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Phenylephrine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Benorilate.]
[H03AA04, tiratricol, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Tiratricol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be increased when combined with Phenylephrine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Phenylephrine is combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Phenylephrine is combined with Naratriptan.]
[N04AC01, benztropine, The risk or severity of Tachycardia can be increased when Benzatropine is combined with Phenylephrine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be increased when combined with Phenylephrine.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Parathyroid hormone.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Phenylephrine.]
[C08EA02, bepridil, The risk or severity of hypertension can be decreased when Bepridil is combined with Phenylephrine.]
[C02KX05, riociguat, Phenylephrine may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Phenylephrine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Vortioxetine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Phenylephrine.]
[C01CA27, droxidopa, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Phenylephrine.]
[L04AA32, apremilast, The metabolism of Apremilast can be increased when combined with Phenylephrine.]
[S01ED02, betaxolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Phenylephrine may decrease the antihypertensive activities of Bethanidine.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Phenylephrine.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Glycopyrronium.]
[N05AA04, acepromazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Acepromazine.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be increased when combined with Phenylephrine.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be increased when combined with Phenylephrine.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Difemerine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Phenylephrine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Phenylephrine is combined with Acemetacin.]
[B01AC27, selexipag, Phenylephrine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Alfuzosin.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Alminoprofen.]
[N05BA08, bromazepam, The risk or severity of hypertension can be decreased when Bromazepam is combined with Phenylephrine.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Phenylephrine.]
[D07AC11, amcinonide, The risk or severity of hypertension can be increased when Amcinonide is combined with Phenylephrine.]
[N06AA19, amineptin, Amineptine may increase the vasopressor activities of Phenylephrine.]
[C08CA01, amlodipine, The risk or severity of hypertension can be decreased when Amlodipine is combined with Phenylephrine.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be increased when combined with Phenylephrine.]
[C07AA19, bupranolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Bupranolol.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Buspirone.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Phenylephrine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be increased when combined with Phenylephrine.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Phenylephrine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Bamifylline.]
[C09AA07, benazepril, Phenylephrine may decrease the antihypertensive activities of Benazepril.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Phenylephrine.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Benzylthiouracil.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypertensive activities of Phenylephrine.]
[P03AC02, bioallethrin, The risk or severity of hypertension can be decreased when Bioallethrin is combined with Phenylephrine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Phenylephrine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be increased when combined with Phenylephrine.]
[C07AA17, bopindolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Bopindolol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Bornaprine.]
[N05CD09, brotizolam, The risk or severity of hypertension can be decreased when Brotizolam is combined with Phenylephrine.]
[R03BA02, budesonide, The risk or severity of hypertension can be increased when Budesonide is combined with Phenylephrine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Bumadizone.]
[N06AA15, butriptyline, Butriptyline may increase the vasopressor activities of Phenylephrine.]
[N01BX04, capsaicin, The metabolism of Phenylephrine can be decreased when combined with Capsaicin.]
[C09AA01, captopril, Phenylephrine may decrease the antihypertensive activities of Captopril.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Carbimazole.]
[C07AG02, carvedilol, The risk or severity of hypertension can be decreased when Carvedilol is combined with Phenylephrine.]
[B02BX09, fostamatinib, The risk or severity of hypertension can be decreased when Fostamatinib is combined with Phenylephrine.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Cannabidiol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Phenylephrine.]
[C07AB08, celiprolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Celiprolol.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be increased when combined with Phenylephrine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Phenylephrine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Oxtriphylline.]
[L01AD01, carmustine, The metabolism of Carmustine can be increased when combined with Phenylephrine.]
[C09AA08, cilazapril, Phenylephrine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Phenylephrine.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Phenylephrine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be increased when combined with Phenylephrine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Phenylephrine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Phenylephrine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Phenylephrine.]
[N05BA09, clobazam, The risk or severity of hypertension can be decreased when Clobazam is combined with Phenylephrine.]
[D07AB21, clocortolone, The risk or severity of hypertension can be increased when Clocortolone is combined with Phenylephrine.]
[H02AB14, cloprednol, The risk or severity of hypertension can be increased when Cloprednol is combined with Phenylephrine.]
[N05BA22, cloxazolam, The risk or severity of hypertension can be decreased when Cloxazolam is combined with Phenylephrine.]
[C09CA06, candesartan, Phenylephrine may decrease the antihypertensive activities of Candesartan.]
[H02AB17, cortivazol, The risk or severity of hypertension can be increased when Cortivazol is combined with Phenylephrine.]
[C03BX03, cicletanine, Phenylephrine may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be increased when combined with Phenylephrine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Phenylephrine.]
[C03AA09, cyclothiazide, Phenylephrine may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Yohimbine.]
[H02AB13, deflazacort, The risk or severity of hypertension can be increased when Deflazacort is combined with Phenylephrine.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be increased when combined with Phenylephrine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dutasteride.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Phenylephrine.]
[D07AC19, difluprednate, The risk or severity of hypertension can be increased when Difluprednate is combined with Phenylephrine.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Phenylephrine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be increased when combined with Phenylephrine.]
[C08CA16, clevidipine, The risk or severity of hypertension can be decreased when Clevidipine is combined with Phenylephrine.]
[C01BD07, dronedarone, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Dronedarone.]
[N05BA02, chlordiazepoxide, The risk or severity of hypertension can be decreased when Chlordiazepoxide is combined with Phenylephrine.]
[C02AA06, methoserpidine, Phenylephrine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of hypertension can be increased when Fluprednidene is combined with Phenylephrine.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Phenylephrine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Phenylephrine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Phenylephrine is combined with Selpercatinib.]
[S01BA14, loteprednol, The risk or severity of hypertension can be increased when Loteprednol is combined with Phenylephrine.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, The risk or severity of hypertension can be decreased when Levamlodipine is combined with Phenylephrine.]
[N05CD14, remimazolam, The risk or severity of hypertension can be decreased when Remimazolam is combined with Phenylephrine.]
