[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Budesonide.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Antipyrine.]
[A14AA02, stanozolol, The risk or severity of fluid retention can be increased when Budesonide is combined with Stanozolol.]
[G03XB02, ulipristal, The serum concentration of Budesonide can be increased when it is combined with Ulipristal.]
[J01GA01, streptomycin, Budesonide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Budesonide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Budesonide.]
[L04AA27, fingolimod, Budesonide may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Budesonide.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01CG01, sulbactam, Budesonide may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Budesonide.]
[M04AB02, sulfinpyrazone, Sulfinpyrazone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Sulindac.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be decreased when used in combination with Budesonide.]
[A10BB04, glibornuride, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Budesonide.]
[N06DA01, tacrine, The therapeutic efficacy of Tacrine can be decreased when used in combination with Budesonide.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Budesonide.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Budesonide.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Budesonide.]
[B01AE07, dabigatran etexilate, Budesonide may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The risk or severity of edema formation can be increased when Testosterone is combined with Budesonide.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Budesonide.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Budesonide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Budesonide.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Budesonide is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiotepa can be decreased when used in combination with Budesonide.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Budesonide.]
[B02AB01, aprotinin, The therapeutic efficacy of Aprotinin can be decreased when used in combination with Budesonide.]
[G04BE06, moxisylyte, Budesonide may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Budesonide may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01AA12, tobramycin, Budesonide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
