[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cocaine.]
[J01GA01, streptomycin, The risk or severity of methemoglobinemia can be increased when Streptomycin is combined with Cocaine.]
[L01AD04, streptozocin, The risk or severity of methemoglobinemia can be increased when Streptozocin is combined with Cocaine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01CA16, sulbenicillin, The risk or severity of methemoglobinemia can be increased when Sulbenicillin is combined with Cocaine.]
[S01AB04, sulfacetamide, The risk or severity of methemoglobinemia can be increased when Sulfacetamide is combined with Cocaine.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Sulfadiazine is combined with Cocaine.]
[J01ED07, sulfamerazine, The risk or severity of methemoglobinemia can be increased when Sulfamerazine is combined with Cocaine.]
[J01EC01, sulfamethoxazole, The risk or severity of methemoglobinemia can be increased when Sulfamethoxazole is combined with Cocaine.]
[J01ED05, sulfamethoxypyridazine, The risk or severity of methemoglobinemia can be increased when Sulfamethoxypyridazine is combined with Cocaine.]
[J01EB06, sulfanilamide, The risk or severity of methemoglobinemia can be increased when Sulfanilamide is combined with Cocaine.]
[S01AB02, sulfisoxazole, The risk or severity of methemoglobinemia can be increased when Sulfisoxazole is combined with Cocaine.]
[N05AL01, sulpiride, Cocaine may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of methemoglobinemia can be increased when Sulthiame is combined with Cocaine.]
[L01BB02, mercaptopurine, The risk or severity of methemoglobinemia can be increased when Mercaptopurine is combined with Cocaine.]
[N06DA01, tacrine, Tacrine may increase the neuromuscular blocking activities of Cocaine.]
[J01CA15, talampicillin, The risk or severity of methemoglobinemia can be increased when Talampicillin is combined with Cocaine.]
[L02BA01, tamoxifen, The risk or severity of methemoglobinemia can be increased when Tamoxifen is combined with Cocaine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01CB02, teniposide, The risk or severity of methemoglobinemia can be increased when Teniposide is combined with Cocaine.]
[R03CC03, terbutaline, Terbutaline may increase the neuromuscular blocking activities of Cocaine.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Tetracaine.]
[S03AA02, tetracycline, The risk or severity of methemoglobinemia can be increased when Tetracycline is combined with Cocaine.]
[J01DI02, ceftaroline fosamil, The risk or severity of methemoglobinemia can be increased when Ceftaroline fosamil is combined with Cocaine.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A04AD10, dronabinol, Cocaine may increase the tachycardic activities of Dronabinol.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L04AX02, thalidomide, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Cocaine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Cocaine.]
[L01XX41, eribulin, The risk or severity of methemoglobinemia can be increased when Eribulin is combined with Cocaine.]
[J01BA02, thiamphenicol, The risk or severity of methemoglobinemia can be increased when Thiamphenicol is combined with Cocaine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01AC01, thiotepa, The risk or severity of methemoglobinemia can be increased when Thiotepa is combined with Cocaine.]
[L01BB03, thioguanine, The risk or severity of methemoglobinemia can be increased when Tioguanine is combined with Cocaine.]
[N05CA19, thiopental, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Cocaine.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Thioridazine is combined with Cocaine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Cocaine.]
[B02AB01, aprotinin, Aprotinin may increase the neuromuscular blocking activities of Cocaine.]
[G04BE06, moxisylyte, The serum concentration of Moxisylyte can be increased when it is combined with Cocaine.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01CA13, ticarcillin, The risk or severity of methemoglobinemia can be increased when Ticarcillin is combined with Cocaine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Cocaine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Cocaine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Cocaine.]
[P01AB02, tinidazole, The risk or severity of methemoglobinemia can be increased when Tinidazole is combined with Cocaine.]
[S01AA12, tobramycin, The risk or severity of methemoglobinemia can be increased when Tobramycin is combined with Cocaine.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Cocaine.]
[L01XF01, tretinoin, The risk or severity of methemoglobinemia can be increased when Tretinoin is combined with Cocaine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Cocaine.]
