[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Formoterol.]
[J01EC02, sulfadiazine, The metabolism of Formoterol can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Formoterol can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Formoterol can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Formoterol can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Formoterol can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Formoterol can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Formoterol.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Formoterol.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Formoterol is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of hypokalemia can be increased when Mercaptopurine is combined with Formoterol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Formoterol.]
[L01CB02, teniposide, The metabolism of Formoterol can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may increase the sympathomimetic activities of Formoterol.]
[G03BA03, testosterone, The metabolism of Formoterol can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Formoterol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Formoterol.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Formoterol.]
[R03DA07, theobromine, The risk or severity of hypokalemia can be increased when Theobromine is combined with Formoterol.]
[R03DA04, theophylline, The risk or severity of hypokalemia can be increased when Theophylline is combined with Formoterol.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Formoterol is combined with Thiamine.]
