[S02DA03, antipyrine, The metabolism of Olodaterol can be decreased when combined with Antipyrine.]
[J01EC02, sulfadiazine, The metabolism of Olodaterol can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Olodaterol can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Olodaterol.]
[J01EC03, sulfamoxole, The metabolism of Olodaterol can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Olodaterol can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Olodaterol can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Olodaterol can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Olodaterol.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Olodaterol can be decreased when combined with Glibornuride.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Azapropazone is combined with Olodaterol.]
[L01BB02, mercaptopurine, Mercaptopurine may increase the hyperkalemic activities of Olodaterol.]
[L02BA01, tamoxifen, The metabolism of Olodaterol can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Olodaterol can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Olodaterol.]
[G03BA03, testosterone, The metabolism of Olodaterol can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Olodaterol.]
[A04AD10, dronabinol, The metabolism of Olodaterol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Olodaterol.]
[L04AX02, thalidomide, The metabolism of Olodaterol can be decreased when combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the hyperkalemic activities of Olodaterol.]
[R03DA04, theophylline, Theophylline may increase the hyperkalemic activities of Olodaterol.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Olodaterol.]
[N05AB08, thioproperazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Thioproperazine.]
