[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Salmeterol.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Salmeterol.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Salmeterol.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sulpiride.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Salmeterol is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of hypokalemia can be increased when Mercaptopurine is combined with Salmeterol.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Salmeterol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Salmeterol.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Salmeterol.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Salmeterol.]
[G03BA03, testosterone, The metabolism of Salmeterol can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Salmeterol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Salmeterol.]
[L04AX02, thalidomide, The metabolism of Salmeterol can be increased when combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of hypokalemia can be increased when Theobromine is combined with Salmeterol.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Salmeterol.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Salmeterol is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Eribulin.]
[N05AB08, thioproperazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Salmeterol is combined with Moxisylyte.]
[S01ED01, timolol, Timolol may decrease the bronchodilatory activities of Salmeterol.]
[M02AX02, tolazoline, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Salmeterol.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Salmeterol.]
[N02AX02, tramadol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Salmeterol.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Salmeterol.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Salmeterol.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Salmeterol.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Salmeterol.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triazolam is combined with Salmeterol.]
[C03AA06, trichlormethiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Salmeterol.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Salmeterol.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Salmeterol.]
[R03BA07, mometasone, The risk or severity of hypokalemia can be increased when Mometasone is combined with Salmeterol.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Trimebutine.]
